CX,CG,"DATE_FROM
[yyyy-mm-dd]","DATE_TO
[yyyy-mm-dd]","ON CALL
TIME?",WK,TR,TTL
CX_BDVDB,CG_YGK6R,2018-05-06,2018-05-19,NO,80.00,0.00,80.00
CX_MKQBN,CG_LEAFH,2018-05-06,2018-05-19,NO,45.50,0.00,45.50
CX_TJPSG,CG_AGQZZ,2018-05-06,2018-05-19,NO,27.00,0.00,27.00
CX_R228Y,CG_TAYET,2018-05-06,2018-05-19,NO,80.00,0.00,80.00
CX_5ZCOK,CG_O4109,2018-05-07,2018-05-17,NO,9.00,1.00,10.00
CX_5ZCOK,CG_R5GA9,2018-05-06,2018-05-19,NO,76.50,0.00,76.50
CX_5ZCOK,CG_RI282,2018-05-15,2018-05-16,YES,4.00,0.50,4.50
CX_28PUG,CG_VB5TG,2018-05-06,2018-05-19,NO,64.00,0.00,64.00
CX_28PUG,CG_I5NBL,2018-05-07,2018-05-17,NO,7.50,0.75,8.25
CX_FE4E7,CG_IXEO3,2018-05-07,2018-05-18,NO,41.50,0.00,41.50
CX_C1EUL,CG_NIERI,2018-05-07,2018-05-18,NO,22.00,1.50,23.50
CX_H5NQY,CG_OEDN7,2018-05-06,2018-05-19,NO,74.00,0.00,74.00
CX_MKSXT,CG_4DMFY,2018-05-07,2018-05-18,NO,18.00,1.50,19.50
CX_7GAAX,CG_35FPL,2018-05-08,2018-05-15,NO,13.00,0.75,13.75
CX_PX4WL,CG_NIERI,2018-05-07,2018-05-18,NO,13.50,1.50,15.00
CX_OTFXR,CG_M2G5W,2018-05-07,2018-05-18,NO,24.00,1.50,25.50
CX_OTFXR,CG_4DMFY,2018-05-08,2018-05-17,NO,16.00,1.00,17.00
CX_T5BPK,CG_FJ24K,2018-05-06,2018-05-19,NO,80.00,0.00,80.00
CX_T5BPK,CG_TEREL,2018-05-06,2018-05-19,NO,80.00,0.00,80.00
CX_T5BPK,CG_QJK9V,2018-05-06,2018-05-19,NO,35.00,0.00,35.00
CX_ZZ9V4,CG_S9AHO,2018-05-06,2018-05-19,NO,64.00,0.00,64.00
CX_5XEJ7,CG_4XZDJ,2018-05-06,2018-05-19,NO,28.00,0.00,28.00
CX_R34O5,CG_O1HO8,2018-05-07,2018-05-19,NO,66.00,3.00,69.00
CX_A8V66,CG_80SSD,2018-05-06,2018-05-19,NO,44.50,0.00,44.50
CX_A8V66,CG_WUE9P,2018-05-06,2018-05-19,NO,38.50,0.00,38.50
CX_6FR7W,CG_3ASL1,,,NO,0.00,0.00,0.00
CX_6FR7W,CG_1BP9E,,,NO,0.00,0.00,0.00
CX_C6OK0,CG_GDZ94,2018-05-06,2018-05-19,NO,46.00,0.00,46.00
CX_C2PP3,CG_FUJ2B,2018-05-06,2018-05-19,NO,77.00,7.00,84.00
CX_3HGMX,CG_JJT2G,2018-05-09,2018-05-18,NO,20.00,1.00,21.00
CX_3HGMX,CG_3Q4IG,2018-05-07,2018-05-14,NO,10.00,0.50,10.50
CX_7QOI4,CG_MQTDE,2018-05-06,2018-05-19,NO,80.00,0.00,80.00
CX_M9F3E,CG_A8SIU,2018-05-17,2018-05-17,NO,4.50,0.25,4.75
CX_M9F3E,CG_A8SIU,2018-05-15,2018-05-15,YES,4.50,0.25,4.75
CX_M9F3E,CG_RIUZK,2018-05-10,2018-05-12,NO,9.00,0.50,9.50
CX_VHRJV,CG_37GC9,2018-05-17,2018-05-17,NO,1.50,0.25,1.75
CX_VHRJV,CG_R2G6G,2018-05-07,2018-05-19,NO,42.50,0.00,42.50
CX_ZBFOM,CG_BHY5H,2018-05-06,2018-05-19,NO,30.50,0.00,30.50
CX_37HL9,CG_S2NZE,2018-05-07,2018-05-18,NO,20.00,1.50,21.50
CX_PXJU6,CG_ONVI4,2018-05-06,2018-05-19,NO,38.00,0.00,38.00
CX_AU6KH,CG_7CYP0,2018-05-07,2018-05-11,NO,7.50,0.75,8.25
CX_87VGY,CG_3Q4IG,2018-05-06,2018-05-19,NO,16.00,1.25,17.25
CX_87VGY,CG_VV3QG,2018-05-06,2018-05-18,NO,49.00,0.00,49.00
CX_L9SP4,CG_57H0I,2018-05-06,2018-05-19,NO,72.00,7.00,79.00
CX_PN8LY,CG_L0AMN,2018-05-08,2018-05-18,NO,25.50,1.50,27.00
CX_U0WZ8,CG_29VOH,2018-05-07,2018-05-18,NO,34.00,2.50,36.50
CX_AAOQH,CG_MW2HD,2018-05-06,2018-05-19,NO,78.50,0.00,78.50
CX_HPNOW,CG_WB6ON,2018-05-07,2018-05-17,NO,66.50,0.00,66.50
CX_DVT23,CG_69OL9,2018-05-06,2018-05-19,NO,44.00,0.00,44.00
CX_VGKP3,CG_WA8IJ,2018-05-06,2018-05-19,NO,71.00,0.00,71.00
CX_QV0QA,CG_KA0RO,2018-05-06,2018-05-19,NO,49.50,3.50,53.00
CX_QV0QA,CG_BSSO0,2018-05-06,2018-05-17,NO,17.00,0.00,17.00
CX_S8XNP,CG_R9BHT,2018-05-06,2018-05-19,NO,61.50,0.00,61.50
CX_59ZQD,CG_ZE7UK,2018-05-06,2018-05-19,NO,17.00,0.00,17.00
CX_GAT56,CG_O1HO8,2018-05-07,2018-05-17,NO,30.00,2.50,32.50
CX_CQZDC,CG_7CYP0,2018-05-12,2018-05-15,NO,7.50,0.50,8.00
CX_CQZDC,CG_RI282,2018-05-17,2018-05-17,YES,4.00,0.25,4.25
CX_CQZDC,CG_U2KAX,2018-05-19,2018-05-19,NO,3.50,0.25,3.75
CX_HMP6C,CG_YJAF2,2018-05-06,2018-05-19,NO,58.50,0.00,58.50
CX_03H4J,CG_3GDLB,2018-05-06,2018-05-19,NO,17.00,0.00,17.00
CX_61EWX,CG_2X0CE,2018-05-06,2018-05-19,NO,32.00,0.00,32.00
CX_RYMNC,CG_I4JFI,2018-05-10,2018-05-19,NO,56.50,0.00,56.50
CX_WZ61J,CG_8G3O2,2018-05-06,2018-05-19,NO,35.00,0.00,35.00
CX_23PAF,CG_LI3EX,2018-05-06,2018-05-19,NO,79.00,0.00,79.00
CX_F2KO5,CG_OJCTR,2018-05-07,2018-05-18,NO,44.00,2.50,46.50
CX_KWGQI,CG_P6B74,2018-05-07,2018-05-18,NO,80.00,0.00,80.00
CX_KWGQI,CG_MYJI3,2018-05-06,2018-05-19,NO,32.00,1.00,33.00
CX_8AYSH,CG_GX2A2,2018-05-06,2018-05-19,NO,49.50,0.00,49.50
CX_PXX9A,CG_LB1XH,2018-05-06,2018-05-19,NO,66.00,0.00,66.00
CX_7IDEJ,CG_OVREU,2018-05-06,2018-05-19,NO,42.50,0.00,42.50
CX_29R8Y,CG_44EFL,2018-05-07,2018-05-18,NO,48.50,2.50,51.00
CX_ZHPCZ,CG_H5I10,2018-05-06,2018-05-19,NO,74.50,0.00,74.50
CX_WP39J,CG_R13MF,2018-05-07,2018-05-19,NO,44.00,2.50,46.50
CX_GEWZX,CG_D8MZ6,2018-05-06,2018-05-19,NO,17.00,0.00,17.00
CX_K5R65,CG_L0AMN,2018-05-14,2018-05-17,YES,8.00,0.75,8.75
CX_K5R65,CG_A8SIU,2018-05-16,2018-05-19,NO,7.00,0.75,7.75
CX_K5R65,CG_J9T58,2018-05-10,2018-05-12,NO,5.00,0.50,5.50
CX_HGPIF,CG_REZM4,2018-05-06,2018-05-19,NO,63.50,0.00,63.50
CX_ATX9G,CG_ROJ7M,2018-05-06,2018-05-19,NO,55.00,0.00,55.00
CX_CF1DC,CG_ZI6E0,2018-05-06,2018-05-19,NO,46.00,0.00,46.00
CX_TA3DI,CG_WJ1WQ,2018-05-06,2018-05-19,NO,53.50,0.00,53.50
CX_GYU2D,CG_7QH9D,2018-05-06,2018-05-19,NO,43.50,0.00,43.50
