CX,CG,"ON CALL
TIME?",TTL,IHSS ?,REL ?
CX_PXJU6,CG_ONVI4,NO,38.00,Y,Y
CX_AU6KH,CG_7CYP0,NO,8.25,N,N
CX_87VGY,CG_3Q4IG,NO,17.25,N,N
CX_87VGY,CG_VV3QG,NO,49.00,N,N
CX_L9SP4,CG_57H0I,NO,79.00,N,N
CX_PN8LY,CG_L0AMN,NO,27.00,N,N
CX_U0WZ8,CG_29VOH,NO,36.50,Y,N
CX_AAOQH,CG_MW2HD,NO,78.50,Y,Y
CX_HPNOW,CG_WB6ON,NO,66.50,Y,N
CX_DVT23,CG_69OL9,NO,44.00,Y,Y
CX_VGKP3,CG_WA8IJ,NO,71.00,Y,Y
CX_QV0QA,CG_KA0RO,NO,53.00,N,N
CX_QV0QA,CG_BSSO0,NO,17.00,N,Y
CX_S8XNP,CG_R9BHT,NO,61.50,Y,Y
CX_59ZQD,CG_ZE7UK,NO,17.00,N,Y
CX_GAT56,CG_O1HO8,NO,32.50,Y,N
CX_CQZDC,CG_7CYP0,NO,8.00,N,N
CX_CQZDC,CG_RI282,YES,4.25,N,N
CX_CQZDC,CG_U2KAX,NO,3.75,N,N
CX_HMP6C,CG_YJAF2,NO,58.50,Y,Y
CX_03H4J,CG_3GDLB,NO,17.00,N,Y
CX_61EWX,CG_2X0CE,NO,32.00,Y,Y
CX_RYMNC,CG_I4JFI,NO,56.50,Y,Y
CX_WZ61J,CG_8G3O2,NO,35.00,Y,Y
CX_23PAF,CG_LI3EX,NO,79.00,Y,Y
CX_F2KO5,CG_OJCTR,NO,46.50,N,N
CX_KWGQI,CG_P6B74,NO,80.00,Y,N
CX_KWGQI,CG_MYJI3,NO,33.00,Y,N
CX_8AYSH,CG_GX2A2,NO,49.50,Y,N
CX_PXX9A,CG_LB1XH,NO,66.00,Y,Y
CX_7IDEJ,CG_OVREU,NO,42.50,Y,Y
CX_29R8Y,CG_44EFL,NO,51.00,Y,N
CX_ZHPCZ,CG_H5I10,NO,74.50,Y,Y
CX_WP39J,CG_R13MF,NO,46.50,N,N
CX_GEWZX,CG_D8MZ6,NO,17.00,N,Y
CX_K5R65,CG_L0AMN,YES,8.75,Y,N
CX_K5R65,CG_A8SIU,NO,7.75,Y,N
CX_K5R65,CG_J9T58,NO,5.50,Y,N
CX_HGPIF,CG_REZM4,NO,63.50,Y,Y
CX_ATX9G,CG_ROJ7M,NO,55.00,Y,Y
CX_CF1DC,CG_ZI6E0,NO,46.00,Y,Y
CX_TA3DI,CG_WJ1WQ,NO,53.50,Y,N
CX_GYU2D,CG_7QH9D,NO,43.50,Y,Y
CX_334Z0,CG_WDJF2,NO,8.25,N,N
CX_334Z0,CG_TOXQU,NO,17.00,N,Y
CX_6G2XO,CG_K1BU8,NO,23.50,Y,Y
CX_K6PLD,CG_OLHKU,NO,44.00,Y,Y
CX_38IZM,CG_C5RDD,NO,17.00,N,Y
CX_B61HP,CG_M8VW1,NO,20.00,Y,Y
CX_MHEX7,CG_DDX5M,NO,34.00,N,N
CX_MHEX7,CG_1UK0Q,NO,25.50,N,N
CX_96IJX,CG_1NWRZ,NO,42.00,Y,N
CX_CMEG7,CG_1R9I6,NO,23.00,N,N
CX_8YJYL,CG_NIERI,NO,24.00,N,N
CX_BBPK5,CG_WDJF2,NO,19.00,N,N
